time,src_ip,protocol,length
2026-01-15 23:58:13.048765,IPv6,TCP,1486
2026-01-15 23:58:13.048832,IPv6,TCP,74
2026-01-15 23:58:13.052110,IPv6,TCP,1486
2026-01-15 23:58:13.052570,IPv6,TCP,1486
2026-01-15 23:58:13.052628,IPv6,TCP,74
2026-01-15 23:58:13.070671,IPv6,TCP,1486
2026-01-15 23:58:13.070903,IPv6,TCP,1486
2026-01-15 23:58:13.070963,IPv6,TCP,74
2026-01-15 23:58:13.073095,IPv6,TCP,1486
2026-01-15 23:58:13.073484,IPv6,TLS,1486
2026-01-15 23:58:13.073589,IPv6,TCP,74
2026-01-15 23:58:13.075994,IPv6,TCP,1486
2026-01-15 23:58:13.076495,IPv6,TCP,1486
2026-01-15 23:58:13.076549,IPv6,TCP,74
2026-01-15 23:58:13.079361,IPv6,TCP,1486
2026-01-15 23:58:13.080773,IPv6,TCP,1486
2026-01-15 23:58:13.080835,IPv6,TCP,74
2026-01-15 23:58:13.081318,IPv6,TCP,1486
2026-01-15 23:58:13.083948,IPv6,TCP,1486
2026-01-15 23:58:13.084012,IPv6,TCP,74
2026-01-15 23:58:13.084371,IPv6,TCP,1486
2026-01-15 23:58:13.087187,IPv6,TCP,1486
2026-01-15 23:58:13.087249,IPv6,TCP,74
2026-01-15 23:58:13.087582,IPv6,TCP,1486
2026-01-15 23:58:13.090846,IPv6,TCP,1486
2026-01-15 23:58:13.090899,IPv6,TCP,74
2026-01-15 23:58:13.091216,IPv6,TLS,1486
2026-01-15 23:58:13.093884,IPv6,TCP,1486
2026-01-15 23:58:13.093941,IPv6,TCP,74
2026-01-15 23:58:13.094029,IPv6,TCP,1486
2026-01-15 23:58:13.096865,IPv6,TCP,1486
2026-01-15 23:58:13.096904,IPv6,TCP,74
2026-01-15 23:58:13.097151,IPv6,TCP,1486
2026-01-15 23:58:13.099997,IPv6,TCP,1486
2026-01-15 23:58:13.100046,IPv6,TCP,74
2026-01-15 23:58:13.100270,IPv6,TCP,1486
2026-01-15 23:58:13.103147,IPv6,TCP,1486
2026-01-15 23:58:13.103202,IPv6,TCP,74
2026-01-15 23:58:13.103368,IPv6,TCP,1486
2026-01-15 23:58:13.106443,IPv6,TCP,1486
2026-01-15 23:58:13.106507,IPv6,TCP,74
2026-01-15 23:58:13.106818,IPv6,TCP,1486
2026-01-15 23:58:13.110756,IPv6,TCP,1486
2026-01-15 23:58:13.110810,IPv6,TCP,74
2026-01-15 23:58:13.111182,IPv6,TLS,1486
2026-01-15 23:58:13.114265,IPv6,TCP,1486
2026-01-15 23:58:13.114313,IPv6,TCP,74
2026-01-15 23:58:13.114470,IPv6,QUIC,103
2026-01-15 23:58:13.114784,IPv6,TLS,1486
2026-01-15 23:58:13.115698,IPv6,TCP,1486
2026-01-15 23:58:13.115716,IPv6,TCP,74
2026-01-15 23:58:13.116691,IPv6,TCP,1486
2026-01-15 23:58:13.117131,IPv6,TCP,1486
2026-01-15 23:58:13.117178,IPv6,TCP,74
2026-01-15 23:58:13.119204,IPv6,TCP,1486
2026-01-15 23:58:13.119324,IPv6,TLS,1486
2026-01-15 23:58:13.119374,IPv6,TCP,74
2026-01-15 23:58:13.120671,IPv6,QUIC,86
2026-01-15 23:58:13.121277,IPv6,TCP,1486
2026-01-15 23:58:13.121831,IPv6,TCP,1486
2026-01-15 23:58:13.121853,IPv6,TCP,74
2026-01-15 23:58:13.123589,IPv6,TCP,1486
2026-01-15 23:58:13.124009,IPv6,TCP,1486
2026-01-15 23:58:13.124048,IPv6,TCP,74
2026-01-15 23:58:13.125432,IPv6,TCP,1486
2026-01-15 23:58:13.125900,IPv6,TCP,1486
2026-01-15 23:58:13.125935,IPv6,TCP,74
2026-01-15 23:58:13.127651,IPv6,TCP,1486
2026-01-15 23:58:13.128187,IPv6,TCP,1486
2026-01-15 23:58:13.128249,IPv6,TCP,74
2026-01-15 23:58:13.129918,IPv6,TCP,1486
2026-01-15 23:58:13.131134,IPv6,TCP,1486
2026-01-15 23:58:13.131193,IPv6,TCP,74
2026-01-15 23:58:13.132304,IPv6,TCP,1486
2026-01-15 23:58:13.132801,IPv6,TLS,1486
2026-01-15 23:58:13.132842,IPv6,TCP,74
2026-01-15 23:58:13.134879,IPv6,TCP,1486
2026-01-15 23:58:13.135316,IPv6,TCP,1486
2026-01-15 23:58:13.135354,IPv6,TCP,74
2026-01-15 23:58:13.139893,IPv6,TCP,1486
2026-01-15 23:58:13.139893,IPv6,TCP,1486
2026-01-15 23:58:13.139893,IPv6,TCP,1486
2026-01-15 23:58:13.139893,IPv6,TCP,1486
2026-01-15 23:58:13.140027,IPv6,TCP,74
2026-01-15 23:58:13.140549,IPv6,TCP,1486
2026-01-15 23:58:13.143329,IPv6,TCP,1486
2026-01-15 23:58:13.143410,IPv6,TCP,74
2026-01-15 23:58:13.144104,IPv6,TCP,1486
2026-01-15 23:58:13.147563,IPv6,TCP,1486
2026-01-15 23:58:13.147632,IPv6,TCP,74
2026-01-15 23:58:13.147693,IPv6,TLS,1486
2026-01-15 23:58:13.148187,IPv6,TLS,1486
2026-01-15 23:58:13.148230,IPv6,TCP,74
2026-01-15 23:58:13.150616,IPv6,TCP,1486
2026-01-15 23:58:13.150616,IPv6,TCP,1486
2026-01-15 23:58:13.150616,IPv6,TCP,1486
2026-01-15 23:58:13.150728,IPv6,TCP,74
2026-01-15 23:58:13.151018,IPv6,TCP,1486
2026-01-15 23:58:13.151055,IPv6,TCP,74
2026-01-15 23:58:13.151703,IPv6,TCP,1486
2026-01-15 23:58:13.152864,IPv6,TCP,1486
2026-01-15 23:58:13.152913,IPv6,TCP,74
2026-01-15 23:58:13.153335,IPv6,TCP,1486
2026-01-15 23:58:13.154611,IPv6,TCP,1486
2026-01-15 23:58:13.154674,IPv6,TCP,74
2026-01-15 23:58:13.155265,IPv6,TCP,1486
2026-01-15 23:58:13.156234,IPv6,TCP,1486
2026-01-15 23:58:13.156285,IPv6,TCP,74
2026-01-15 23:58:13.156777,IPv6,TLS,1486
2026-01-15 23:58:13.160194,IPv6,TCP,1486
2026-01-15 23:58:13.160194,IPv6,TCP,1486
2026-01-15 23:58:13.160194,IPv6,TCP,1486
2026-01-15 23:58:13.160339,IPv6,TCP,74
2026-01-15 23:58:13.160455,IPv6,TCP,1486
2026-01-15 23:58:13.162312,IPv6,TCP,1486
2026-01-15 23:58:13.162312,IPv6,TCP,1486
2026-01-15 23:58:13.162390,IPv6,TCP,74
2026-01-15 23:58:13.163314,IPv6,TCP,1486
2026-01-15 23:58:13.163378,IPv6,TCP,74
2026-01-15 23:58:13.163682,IPv6,TCP,1486
2026-01-15 23:58:13.164088,IPv6,TCP,1486
2026-01-15 23:58:13.164131,IPv6,TCP,74
2026-01-15 23:58:13.166155,IPv6,TCP,1486
2026-01-15 23:58:13.166155,IPv6,TCP,1486
2026-01-15 23:58:13.166246,IPv6,TCP,74
2026-01-15 23:58:13.167412,IPv6,TLS,1486
2026-01-15 23:58:13.167892,IPv6,TCP,1486
2026-01-15 23:58:13.167926,IPv6,TCP,74
2026-01-15 23:58:13.168427,IPv6,TCP,1486
2026-01-15 23:58:13.169298,IPv6,TCP,1486
2026-01-15 23:58:13.169354,IPv6,TCP,74
2026-01-15 23:58:13.170186,IPv6,TCP,1486
2026-01-15 23:58:13.171868,IPv6,TCP,1486
2026-01-15 23:58:13.171868,IPv6,TCP,1486
2026-01-15 23:58:13.171930,IPv6,TCP,74
2026-01-15 23:58:13.172019,IPv6,TCP,1486
2026-01-15 23:58:13.172061,IPv6,TCP,74
2026-01-15 23:58:13.174101,IPv6,TCP,1486
2026-01-15 23:58:13.174266,IPv6,TCP,1486
2026-01-15 23:58:13.174305,IPv6,TCP,74
2026-01-15 23:58:13.174891,IPv6,TCP,1486
2026-01-15 23:58:13.176972,IPv6,TCP,1486
2026-01-15 23:58:13.176972,IPv6,TLS,1486
2026-01-15 23:58:13.176972,IPv6,TCP,1486
2026-01-15 23:58:13.177080,IPv6,TCP,74
2026-01-15 23:58:13.177991,IPv6,TCP,1486
2026-01-15 23:58:13.178472,IPv6,TCP,1486
2026-01-15 23:58:13.178521,IPv6,TCP,74
2026-01-15 23:58:13.179588,IPv6,TCP,1486
2026-01-15 23:58:13.184307,IPv6,TCP,1486
2026-01-15 23:58:13.184307,IPv6,TCP,1486
2026-01-15 23:58:13.184307,IPv6,TCP,1486
2026-01-15 23:58:13.184307,IPv6,TCP,1486
2026-01-15 23:58:13.184307,IPv6,TCP,1486
2026-01-15 23:58:13.184307,IPv6,TCP,1486
2026-01-15 23:58:13.184307,IPv6,TLS,1486
2026-01-15 23:58:13.184467,IPv6,TCP,74
2026-01-15 23:58:13.184691,IPv6,TLS,1486
2026-01-15 23:58:13.185661,IPv6,TCP,1486
2026-01-15 23:58:13.185705,IPv6,TCP,74
2026-01-15 23:58:13.192170,IPv6,TCP,1486
2026-01-15 23:58:13.192170,IPv6,TCP,1486
2026-01-15 23:58:13.192170,IPv6,TCP,1486
2026-01-15 23:58:13.192170,IPv6,TCP,1486
2026-01-15 23:58:13.192170,IPv6,TCP,1486
2026-01-15 23:58:13.192170,IPv6,TCP,1486
2026-01-15 23:58:13.192170,IPv6,TCP,1486
2026-01-15 23:58:13.192301,IPv6,TCP,74
2026-01-15 23:58:13.192399,IPv6,TCP,1486
2026-01-15 23:58:13.192436,IPv6,TCP,74
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196693,IPv6,TLS,1486
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196693,IPv6,TCP,1486
2026-01-15 23:58:13.196846,IPv6,TCP,74
2026-01-15 23:58:13.196994,IPv6,TCP,1486
2026-01-15 23:58:13.197030,IPv6,TCP,74
